song_id,title,artist_name,artist_id,release,year,duration,tempo,loudness,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_hotttnesss,song_hotttnesss,energy,danceability
SOGSMXL12A81C23D88,Je Sais Que La Terre Est Plate,Raphaël,AREJXK41187B9A4ACC,Je Sais Que La Terre Est Plate (Deluxe),2008,148.74077,124.059,-9.636,0,0.591,1,0.556,4,0.372,0.3861516314132549,0.5479529419800353,0.0,0.0
SOMBCOW12AAF3B229F,On Efface,Julie Zenatti,AR2XRFQ1187FB417FE,Comme Vous,2004,252.99546,80.084,-11.061,1,0.429,0,0.67,4,0.533,0.43485958934341257,0.47563846801023907,0.0,0.0
SOEYIHF12AB017B5F4,Howells Delight,The Baltimore Consort,ARODOO01187FB44F4A,Watkins Ale -  Music of the English Renaissance,0,78.0273,54.874,-24.14,3,0.0,1,0.0,4,0.0,0.0,,0.0,0.0
SODJYEC12A8C13D757,Martha Served,I Hate Sally,ARJGW911187FB586CA,Don't Worry Lady,2007,163.63057,77.15,-5.795,7,0.38,1,0.385,3,0.369,0.3345197638116389,,0.0,0.0
SOGSOUE12A58A76443,Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra,AR9HQ6Y1187FB3C2CB,Easy Listening: Cartoon Songs,0,199.99302,120.382,-16.477,10,0.551,1,0.528,4,1.0,0.3116155449734521,,0.0,0.0
SOVVDCO12AB0187AF7,Liquid Time (composition by John Goodsall),Brand X,ARDPTGD1187B9AD361,X Communication : Trilogy II,0,279.35302,99.024,-12.474,9,0.519,1,0.491,4,1.0,0.3636756770511417,0.4454545254934259,0.0,0.0
SOKSZVC12A8C142004,Misery Path (From the Privilege of Evil),Amorphis,ARV8T9T1187B99F3F4,Karelian Isthmus,0,255.03302,175.673,-4.393,9,0.447,1,0.247,4,0.0,0.5535661720707804,0.3277366831778408,0.0,0.0
SORWTIF12A6D4FAA41,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Inoki,ARJ5BEW1187FB52361,Nobiltà di strada,0,259.3171,87.999,-5.05,1,0.194,1,0.436,4,0.954,0.44013471201542936,,0.0,0.0
SOZQSGL12AF72A9145,Halloween,Dead Kennedys,AR050VJ1187B9B13A7,Milking The Sacred Cow,1982,216.842,92.897,-4.264,10,0.325,1,0.286,4,0.879,0.5392454183492504,0.7883881833222074,0.0,0.0
SOKRHNY12AB01837DB,Parto em terras distantes,Brigada Victor Jara,AR8KUS11187B98C991,Novas Vos Trago,1998,312.99873,86.981,-13.885,4,0.669,0,0.638,5,0.688,0.3581485188029746,,0.0,0.0
SOBTEHX12A6D4FBF18,You Eclipsed By Me (Album Version),Atreyu,ARMOHN71187FB3959F,The Curse,2004,218.90567,157.715,-4.707,0,0.588,0,0.584,4,0.691,0.5924394855278091,0.6810920295819312,0.0,0.0
SOXGDVW12AB01864E7,Shovel,Mistress,ARQ0HOT1187B9A25FA,In Disgust We Trust,2005,580.70159,146.331,-4.523,0,0.821,1,0.587,4,0.479,0.3894988174170211,0.40148671142756037,0.0,0.0
SOKMPKV12A67AE241B,What Drives The Weak,Shadows Fall,ARK8OHG1187B99016A,The War Within,2004,283.48036,84.992,-4.076,0,0.489,0,0.596,4,0.42,0.455558796992588,0.6878737149731753,0.0,0.0
SOMVPGP12AB01881FF,Life Force,Vanessa Daou,ARZFRQM1187B9A9772,Joe Sent Me,0,229.66812,79.96,-19.293,2,0.162,1,0.483,3,0.269,0.40358823765010066,0.26695518627553855,0.0,0.0
SOGXENE12AB01854EB,The Dance Of Europe,Dave Brockie Experience,ARQFKVO1187B9B1777,Diarrhea Of A Madman,2001,135.8624,99.959,-3.312,1,0.387,0,0.418,5,0.902,0.33593551225154833,0.3552855364230894,0.0,0.0
SOBHQIJ12A6D4FC7D3,Spoonie Is Back,Spoonie Gee,ARB2M051187FB56FA9,The Sugar Hill Records Story,0,393.63873,135.503,-6.619,1,0.421,1,0.155,5,0.677,0.42272137011677613,0.5435242770791181,0.0,0.0
SODENZR12AAF3B13B9,Blood Round Dance Song (World),R. Carlos Nakai,AREJ5K11187B993F5F,Changes,1982,146.33751,104.989,-25.651,1,0.027,0,0.415,1,0.0,0.37693998444161575,0.21508031850922793,0.0,0.0
